index,pcode,mfg,racquet,headsize,length,weight,balance,swingweight,flex,acor,sweet,rccode,current,twistweight,hittingweight,vibration,filter,distance,spin,angle,shotspeed,swingspeed,plow,time
0,VS5,Volkl,V-Sense 5,100,27.0,276,33.5,281,70,0.255,10.3,RCVOLKL,x,12.5,114,164,21/2-effort,68.5,1596,3.6,64.5,51.4,37,0.89
1,U100UL,Wilson,Ultra 100UL,100,27.0,270,34.0,283,68,0.26,10.8,RCWILSON,x,13.0,116,164,21/2-effort,68.5,1595,3.6,64.8,51.3,38,0.88
2,BULS1H,Wilson,Burn 100 ULS (2017),100,27.0,281,34.1,288,67,0.273,11.5,RCWILSON,x,14.0,119,158,21/2-effort,68.2,1579,3.4,65.2,51.0,39,0.87
3,YEZLLG,Yonex,Ezone Lite,100,27.0,282,33.3,292,64,0.272,12.1,RCYONEX,x,13.2,119,156,21/2-effort,68.1,1579,3.4,65.2,51.0,39,0.87
4,TPS270,Tecnifibre,T-Flash PS 270,100,27.0,285,34.1,293,69,0.271,12.0,RCTFUSA,x,12.9,119,160,21/2-effort,67.8,1570,3.5,64.9,50.7,39,0.87
5,BTEAM,Wilson,Burn 100 Team (2017),100,27.0,286,34.0,293,63,0.274,12.0,RCWILSON,x,13.3,120,147,21/2-effort,67.8,1570,3.4,65.1,50.7,39,0.87
6,FX500L,Dunlop,FX 500 Lite,100,27.0,282,34.0,293,70,0.278,12.8,RCDUNLOP,x,13.9,121,168,21/2-effort,68.0,1572,3.4,65.4,50.8,39,0.87
7,L31518,Tecnifibre,TFight DC 315 Ltd. (18x20),98,27.0,329,32.2,298,62,0.274,12.2,TFUSA,x,12.8,120,138,21/2-effort,67.1,1547,3.5,64.5,50.2,39,0.87
8,VF5,Volkl,V-Feel 5,100,27.0,278,34.0,296,69,0.275,12.8,RCVOLKL,x,13.0,120,167,21/2-effort,67.9,1572,3.4,65.2,50.8,39,0.87
10,PDL,Babolat,Pure Drive Lite,100,27.0,286,34.2,295,69,0.277,12.7,RCBAB,x,13.4,121,164,21/2-effort,67.8,1566,3.4,65.1,50.7,39,0.87
11,P97LSB,Wilson,Pro Staff 97 LS Black (2016),97,27.0,304,33.0,298,68,0.277,12.8,RCWILSON,x,13.1,121,157,21/2-effort,67.5,1558,3.4,64.9,50.5,39,0.87
12,VS8285,Volkl,V-Sense 8 285g,100,27.0,296,33.4,300,71,0.279,13.0,RCVOLKL,x,13.1,121,164,21/2-effort,67.5,1558,3.4,65.1,50.5,39,0.86
13,WRC1LS,Wilson,Clash 100L Silver,100,27.0,292,32.5,300,54,0.281,13.7,RCWILSON,x,13.4,122,120,21/2-effort,67.9,1567,3.3,65.5,50.7,40,0.87
14,HGTIS,Head,Graphene Touch Instinct S,100,27.0,300,32.6,294,64,0.282,12.6,RCHEAD,x,14.4,122,143,21/2-effort,67.9,1569,3.3,65.6,50.7,40,0.86
15,U100L3,Wilson,Ultra 100L v3,100,27.0,295,33.0,296,68,0.284,13.3,RCWILSON,x,14.4,123,163,21/2-effort,67.9,1567,3.3,65.6,50.7,40,0.86
16,AST100,Yonex,Astrel 100,100,27.0,295,33.0,297,68,0.287,13.3,RCYONEX,x,14.7,124,145,21/2-effort,67.8,1565,3.2,65.8,50.6,40,0.86
17,RCZ98D,Dunlop,Srixon Revo CZ 98D,98,27.0,301,32.5,296,69,0.285,13.6,RCDUNLOP,x,14.5,123,164,21/2-effort,67.8,1566,3.3,65.7,50.7,40,0.86
19,BRPD11,Babolat,Pure Drive 110 2021,110,27.6,269,34.0,298,70,0.284,13.3,RCBABOLAT,x,14.3,123,154,21/2-effort,68.2,1576,3.3,65.9,50.9,40,0.86
20,HGTEL,Head,Graphene Touch Extreme Lite,100,27.0,274,34.8,299,60,0.283,13.1,RCHEAD,x,13.8,123,136,21/2-effort,67.8,1565,3.3,65.5,50.6,40,0.86
23,BRPDL,Babolat,Pure Drive Lite 2021,100,27.0,283,34.0,299,69,0.286,13.5,RCBABOLAT,x,14.2,123,160,21/2-effort,67.8,1564,3.3,65.7,50.6,40,0.86
24,HGSLR,Head,Graphene 360 Speed Lite,100,27.0,281,34.8,300,68,0.285,13.5,RCHEAD,x,13.8,123,156,21/2-effort,67.6,1559,3.3,65.5,50.5,40,0.86
25,VVC8UL,Volkl,V-Cell 8 (285g),100,27.0,298,33.0,303,70,0.283,13.6,RCVOLKL,x,13.2,123,162,21/2-effort,67.5,1556,3.3,65.3,50.4,40,0.86
26,HMGRAD,Head,MicroGEL Radical MP,98,27.0,309,33.5,304,57,0.282,12.4,RCHEAD,x,12.6,121,129,21/2-effort,67.1,1543,3.3,64.9,50.1,39,0.86
27,L31516,Tecnifibre,TFight DC 315 Ltd. (16x19),98,27.0,329,31.8,305,62,0.284,13.5,TFUSA,x,13.0,123,141,21/2-effort,67.0,1542,3.3,65.0,50.1,40,0.86
28,VVCEL6,Volkl,V-Cell 6,100,27.0,289,33.8,303,69,0.285,13.6,RCVOLKL,x,13.4,123,164,21/2-effort,67.5,1556,3.3,65.4,50.4,40,0.86
29,U100LV,Wilson,Ultra 100L v2,100,27.0,292,33.5,302,68,0.286,13.7,RCWILSON,x,13.7,123,155,21/2-effort,67.6,1558,3.3,65.5,50.5,40,0.86
30,HGML36,Head,Graphene 360+ Gravity MP Lite,100,27.0,295,33.2,303,62,0.288,14.2,RCHEAD,x,13.8,124,144,21/2-effort,67.6,1556,3.2,65.6,50.4,40,0.86
31,HGXTRL,Head,Graphene XT Radical Lite,102,27.0,273,35.6,302,59,0.288,13.5,RCHEAD,x,13.9,124,140,21/2-effort,67.6,1557,3.2,65.7,50.4,40,0.86
32,B100LSC,Wilson,Burn 100 LS CAMO,100,27.0,293,33.6,301,69,0.289,14.0,RCWILSON,x,14.3,124,163,21/2-effort,67.6,1557,3.2,65.7,50.5,40,0.86
34,F500LS,Dunlop,FX 500 LS,100,27.0,301,33.5,300,71,0.287,13.6,RCDUNLOP,x,14.2,124,169,21/2-effort,67.5,1554,3.3,65.5,50.4,40,0.86
35,HGTRS,Head,Graphene Touch Radical S,102,27.0,293,33.1,301,61,0.287,13.6,RCHEAD,x,14.1,124,143,21/2-effort,67.7,1561,3.2,65.7,50.5,40,0.86
37,W100T,Prince,Textreme Warrior 100T,100,27.0,288,33.6,302,65,0.287,14.0,RCPRINCE,x,13.8,124,153,21/2-effort,67.7,1560,3.3,65.7,50.5,40,0.86
38,U100LCA,Wilson,Ultra 100L CAMO,100,27.0,294,33.5,303,68,0.287,13.7,RCWILSON,x,13.7,124,153,21/2-effort,67.5,1555,3.3,65.5,50.4,40,0.86
50,TPS285,Tecnifibre,T-Flash PS 285,100,27.0,300,33.5,304,69,0.285,14.0,RCTFUSA,x,13.2,123,159,21/2-effort,67.3,1550,3.3,65.3,50.3,40,0.86
52,T280R,Tecnifibre,ATP TFight 280 XTC,100,27.0,298,33.5,304,68,0.289,14.1,RCTFUSA,x,13.9,124,160,21/2-effort,67.4,1551,3.2,65.6,50.3,40,0.86
53,YEZ1HL,Yonex,Ezone 100 (285g),100,27.0,300,33.3,304,69,0.29,14.3,RCYONEX,x,13.9,124,166,21/2-effort,67.4,1551,3.2,65.6,50.3,40,0.86
54,FDC300,Tecnifibre,TFight DC 300,98,27.0,315,32.5,304,70,0.293,14.4,RCTFUSA,x,14.4,125,161,21/2-effort,67.3,1547,3.2,65.7,50.2,40,0.85
55,YE105,Yonex,EZONE 105,105,27.0,283,34.0,304,66,0.296,14.6,RCYONEX,x,15.0,126,152,21/2-effort,67.7,1558,3.1,66.2,50.5,41,0.85
56,VVC4R,Volkl,V-Cell 4,105,27.6,289,33.5,304,68,0.298,14.8,RCVOLKL,x,15.3,127,160,21/2-effort,67.7,1557,3.1,66.3,50.5,41,0.85
57,TIS6,Head,Titanium Ti.S6,115,27.75,242,38.1,301,62,0.297,13.1,RCHEAD,x,13.6,123,141,21/2-effort,68.0,1567,3.1,66.5,50.7,39,0.85
58,HGTIP,Head,Graphene Touch Instinct PWR,115,27.7,249,37.3,300,67,0.296,14.5,RCHEAD,x,15.8,127,174,21/2-effort,68.0,1567,3.1,66.5,50.7,41,0.85
59,HGTIL,Head,Graphene Touch Instinct Lite,107,27.2,281,34.8,298,61,0.296,14.0,RCHEAD,x,16.1,126,141,21/2-effort,67.8,1561,3.1,66.3,50.5,41,0.85
60,LL20R,Lacoste,L.20,100,27.0,303,32.0,304,69,0.291,14.2,RCLACOSTE,x,14.3,125,152,21/2-effort,67.7,1559,3.2,65.9,50.5,40,0.86
61,VC100L,Yonex,VCORE 100L,100,27.0,298,33.7,306,66,0.293,14.4,RCYONEX,x,14.1,125,149,21/2-effort,67.3,1547,3.2,65.7,50.2,40,0.85
62,YE108R,Yonex,EZONE 108,108,27.25,272,34.2,305,68,0.296,15.0,RCYONEX,x,15.1,127,150,21/2-effort,67.9,1563,3.1,66.4,50.6,41,0.85
63,FDC315,Tecnifibre,TFight DC 315,98,27.0,326,32.0,307,70,0.296,14.6,RCTFUSA,x,14.5,127,156,21/2-effort,67.1,1540,3.2,65.7,50.0,41,0.85
64,HG360L,Head,Graphene 360 Speed MP Lite,100,27.0,292,34.0,309,63,0.295,14.9,RCHEAD,x,14.1,126,145,21/2-effort,67.3,1545,3.2,65.8,50.2,41,0.85
65,MGRADO,Head,MicroGEL Radical OS,107,27.0,316,33.0,310,56,0.294,14.2,RCHEAD,x,17.3,132,127,21/2-effort,66.9,1535,3.2,65.5,49.9,43,0.85
66,HRRS,Head,Graphene 360+ Radical S,102,27.0,295,33.0,309,63,0.296,15.3,RCHEAD,x,14.2,126,148,21/2-effort,67.5,1550,3.1,66.0,50.3,41,0.85
67,VF1MP,Volkl,V-Feel V1 MP,102,27.0,301,33.3,307,68,0.298,15.1,RCVOLKKL,x,14.8,127,162,21/2-effort,67.4,1547,3.1,66.0,50.2,41,0.85
69,GTSMP,Head,Graphene Touch Speed MP,100,27.0,314,32.6,309,64,0.293,14.4,RCHEAD,x,13.6,125,145,21/2-effort,67.1,1541,3.2,65.6,50.1,40,0.85
70,P97LCAM,Wilson,Pro Staff 97L Countervail CAMO,97,27.0,308,33.4,310,70,0.292,14.6,RCWILSON,x,13.3,125,162,21/2-effort,67.0,1538,3.2,65.4,50.0,40,0.85
71,VCSVL,Yonex,V CORE SV 98 Lite,98,27.0,304,33.1,310,66,0.291,14.8,RCYONEX,x,13.3,125,150,21/2-effort,67.2,1542,3.2,65.5,50.1,40,0.85
72,VVC8L,Volkl,V-Cell 8 (300g),100,27.0,312,32.6,312,67,0.292,15.0,RCVOLKL,x,13.2,125,165,21/2-effort,67.0,1538,3.2,65.4,50.0,40,0.85
74,97LV13,Wilson,Pro Staff 97L v13,97,27.0,306,33.3,311,69,0.292,15.0,RCWILSON,x,13.2,125,158,21/2-effort,67.0,1538,3.2,65.4,50.0,40,0.85
75,R2T18,Dunlop,Srixon Revo CX Tour 18x20,95,27.0,329,31.5,314,61,0.29,15.2,RCDUNLOP,x,12.6,124,140,21/2-effort,66.8,1534,3.3,65.2,49.9,40,0.85
76,GXTPRP,Head,Graphene XT Prestige Rev Pro,93,27.0,311,32.8,319,61,0.285,15.3,RCHEAD,x,11.6,123,140,21/2-effort,66.6,1529,3.3,64.7,49.8,40,0.86
77,53OS,Wilson,Hyper Hammer 5.3 Stretch,110,27.5,283,35.6,323,69,0.284,13.6,RCWILSON,x,12.8,128,157,21/2-effort,66.5,1525,3.4,64.5,49.7,42,0.86
83,T1HL,Prince,Textreme Tour 100 L,100,27.0,286,34.6,311,64,0.296,15.2,RCPRINCE,x,13.8,126,145,21/2-effort,67.2,1543,3.2,65.8,50.1,41,0.85
84,VCSV1L,Yonex,V CORE SV 100 Lite,100,27.0,300,33.5,311,70,0.297,14.9,RCYONEX,x,13.9,127,160,21/2-effort,67.2,1541,3.1,65.8,50.1,41,0.85
85,TF27C,Tecnifibre,TFlash 270 CES,100,27.0,289,34.3,309,72,0.298,15.2,RCTFUSA,x,14.5,127,170,21/2-effort,67.3,1545,3.1,66.0,50.2,41,0.85
86,TF85C,Tecnifibre,TFlash 285 CES,100,27.0,303,34.0,309,72,0.3,15.0,RCTFUSA,x,14.7,128,172,21/2-effort,67.1,1538,3.1,65.9,50.0,41,0.85
87,U100,Wilson,Ultra 100,100,27.0,311,33.0,310,70,0.3,15.1,RCWILSON,x,14.6,128,156,21/2-effort,67.1,1539,3.1,66.0,50.0,41,0.85
88,YELNO,Yonex,EZONE 100L Naomi Osaka LE,100,27.0,301,33.5,310,68,0.299,15.1,RCYONEX,x,14.5,128,153,21/2-effort,67.2,1542,3.1,66.0,50.1,41,0.85
89,B100CV,Wilson,Burn 100 Countervail,100,27.0,314,33.0,310,70,0.301,15.2,RCWILSON,x,14.8,128,163,21/2-effort,67.1,1537,3.1,66.0,50.0,41,0.85
90,PKI5,Pro Kennex,Ki 5 280,100,27.0,294,34.0,308,70,0.301,14.9,RCPK,x,15.2,128,156,21/2-effort,67.4,1545,3.1,66.2,50.2,41,0.85
91,VS1,Volkl,V-Sense 1,115,27.8,276,36.3,308,71,0.303,15.4,RCVOLKL,x,15.4,129,180,21/2-effort,67.3,1543,3.1,66.3,50.1,42,0.85
92,BRPD17,Babolat,Pure Drive 107 2021,107,27.2,301,33.0,309,68,0.304,15.1,RCBABOLAT,x,15.5,129,152,21/2-effort,67.4,1546,3.0,66.4,50.2,42,0.85
93,HRIL,Head,Graphene 360+ Instinct Lite,107,27.2,283,35.0,308,63,0.304,15.4,RCHEAD,x,15.7,129,137,21/2-effort,67.4,1546,3.0,66.4,50.2,42,0.85
96,HRGS,Head,Graphene 360+ Gravity S 2021,104,27.0,301,33.5,307,61,0.302,15.0,RCHEAD,x,15.5,128,138,21/2-effort,67.4,1545,3.1,66.3,50.2,41,0.85
102,VCSV95,Yonex,V CORE SV 95,95,27.0,328,31.6,318,65,0.295,16.1,RCYONEX,x,12.9,126,143,21/2-effort,66.7,1529,3.2,65.4,49.8,41,0.85
103,WC100S,Wilson,Clash 100S,100,27.0,309,32.0,317,54,0.298,13.6,RCWILSON,x,13.5,127,117,21/2-effort,67.1,1539,3.1,65.8,50.0,41,0.85
104,PSVS,Babolat,Pure Strike VS,98,27.0,310,33.5,318,63,0.297,15.6,RCBABOLAT,x,13.1,127,145,21/2-effort,66.7,1526,3.2,65.4,49.7,41,0.85
105,CX2H16,Dunlop,Srixon CX 200 Tour (16x19),95,27.0,328,32.0,317,64,0.296,15.2,RCDUNLOP,x,13.0,126,144,21/2-effort,66.7,1527,3.2,65.4,49.7,41,0.85
106,GTPM,Head,Graphene Touch Prestige Mid,93,27.0,337,32.0,326,61,0.297,15.7,RCHEAD,x,12.2,127,145,21/2-effort,66.2,1511,3.2,65.0,49.4,41,0.85
107,VCP97,Yonex,VCORE Pro 97 (310) (2018),97,27.0,326,32.0,317,64,0.299,15.8,RCYONEX,x,13.5,128,142,21/2-effort,66.8,1528,3.1,65.6,49.8,41,0.85
108,PS97L,Wilson,Pro Staff 97L,97,27.0,306,33.3,315,70,0.298,15.7,RCWILSON,x,13.6,127,152,21/2-effort,66.9,1534,3.1,65.7,49.9,41,0.85
110,RCX2LS,Dunlop,Srixon Revo CX 2.0 LS,98,27.0,313,33.0,316,66,0.298,15.6,RCDUNLOP,x,13.5,127,151,21/2-effort,66.8,1530,3.2,65.6,49.8,41,0.85
114,PKKQ5P,ProKennex,Ki Q+ 5 Pro (310),100,27.0,324,31.5,314,67,0.296,15.4,RCPK,x,13.4,126,158,21/2-effort,67.0,1537,3.2,65.6,50.0,41,0.85
115,PTT1L,Prince,Textreme Tour 100L (260) (2019),100,27.0,278,34.0,314,65,0.299,15.5,RCTWABG,x,14.2,127,149,21/2-effort,67.5,1549,3.1,66.2,50.3,41,0.85
116,W100,Prince,Textreme Warrior 100,100,27.0,315,32.5,315,66,0.299,15.7,RCPRINCE,x,13.7,127,141,21/2-effort,67.0,1534,3.1,65.8,49.9,41,0.85
119,T1HT,Prince,Textreme Tour 100T,100,27.0,306,33.3,314,62,0.3,15.6,RCPRINCE,x,14.0,128,136,21/2-effort,67.0,1535,3.1,65.9,49.9,41,0.85
120,PTWIST,Prince,Twistpower X100,100,27.0,306,33.0,314,66,0.301,14.8,RCTWABG,x,14.1,128,149,21/2-effort,67.1,1537,3.1,66.0,50.0,41,0.85
121,FDC305,Tecnifibre,TFight DC 305,98,27.0,322,32.8,315,66,0.301,15.5,RCTFUSA,x,14.1,128,147,21/2-effort,66.8,1527,3.1,65.7,49.7,41,0.84
122,YE98L2,Yonex,EZONE 98L,98,27.0,301,34.0,313,64,0.301,15.4,RCYONEX,x,14.2,128,146,21/2-effort,67.0,1535,3.1,65.9,49.9,41,0.85
123,VSV1OS,Volkl,V-Sense V1 OS,110,27.6,296,34.0,311,68,0.302,15.0,RCVOLKL,x,14.8,128,159,21/2-effort,67.2,1540,3.1,66.1,50.1,41,0.85
124,PD107,Babolat,Pure Drive 107,107,27.0,297,34.5,312,70,0.304,15.6,RCBAB,x,14.9,129,164,21/2-effort,67.0,1535,3.1,66.1,49.9,41,0.84
125,RV3FLS,Dunlop,Srixon Revo CV 3.0 F LS,100,27.0,303,33.5,311,69,0.303,15.8,RCDUNLOP,x,14.9,129,164,21/2-effort,67.2,1539,3.1,66.2,50.0,42,0.85
129,VCEV1P,Volkl,V-Cell V1 Pro,100,27.0,315,33.0,316,68,0.303,15.8,RCVOLKL,x,14.1,129,151,21/2-effort,66.8,1529,3.1,65.9,49.8,42,0.84
130,VC9310,Yonex,VCORE Pro 97 (310),97,27.0,326,32.0,318,64,0.303,16.1,RCYONEX,x,13.8,129,141,21/2-effort,66.8,1527,3.1,65.8,49.7,42,0.84
131,YEZ98,Yonex,Ezone 98 (305g),98,27.0,324,32.0,320,63,0.301,15.8,RCYONEX,x,13.4,128,142,21/2-effort,66.7,1526,3.1,65.7,49.7,41,0.84
137,DSCX2H,Dunlop,Srixon CX 200 Tour (18x20),95,27.0,332,32.0,318,63,0.301,14.6,RCDUNLOP,x,13.5,128,138,21/2-effort,66.6,1523,3.1,65.6,49.7,41,0.84
138,YEZ98L,Yonex,Ezone 98 (285g),98,27.0,302,33.8,317,64,0.301,15.6,RCYONEX,x,13.7,128,148,21/2-effort,66.9,1531,3.1,65.8,49.8,41,0.85
140,D200T8,Dunlop,CX 200 Tour 18x20,95,27.0,332,32.0,319,62,0.302,15.9,RCDUNLOP,x,13.6,128,139,21/2-effort,66.6,1522,3.1,65.7,49.6,41,0.84
141,VCE102,Volkl,V-Cell 10 320g,98,27.0,335,32.0,319,67,0.303,15.8,RCVOLKL,x,13.7,129,146,21/2-effort,66.5,1520,3.1,65.7,49.6,41,0.84
142,P97CV,Wilson,Pro Staff 97 Countervail,97,27.0,332,32.0,320,65,0.304,13.5,RCWILSON,x,13.8,129,147,21/2-effort,66.6,1521,3.1,65.8,49.6,41,0.84
143,WUT,Wilson,Ultra Tour,97,27.0,320,32.5,322,64,0.303,16.3,RCWILSON,x,13.4,129,144,21/2-effort,66.6,1522,3.1,65.7,49.6,41,0.84
144,VC95,Yonex,VCORE 95 (2018),95,27.0,326,32.0,325,62,0.302,14.8,RCYONEX,x,13.0,129,139,21/2-effort,66.5,1519,3.1,65.6,49.6,42,0.84
145,LM4,Head,Liquid Metal 4 OS,102,27.5,293,36.2,329,67,0.303,15.7,RCHEAD,x,13.1,130,152,21/2-effort,66.1,1507,3.1,65.3,49.3,42,0.84
154,WB100R,Wilson,Blade 100L,100,27.0,286,34.0,316,69,0.304,16.1,RCWILSON,x,14.4,129,158,21/2-effort,67.3,1541,3.1,66.3,50.1,42,0.84
155,YE98NO,Yonex,EZONE 98 Naomi Osaka LE,98,27.0,320,32.4,317,64,0.305,16.2,RCYONEX,x,14.3,129,149,21/2-effort,66.9,1529,3.1,66.0,49.8,41,0.84
156,310VD7,Yonex,VCORE Pro 97,97,27.0,326,32.0,318,60,0.305,15.9,RCYONEX,x,14.2,129,129,21/2-effort,66.8,1527,3.1,66.0,49.7,41,0.84
158,VPRO1H,Yonex,VCORE Pro 100 (300),100,27.0,318,33.0,317,66,0.304,16.0,RCYONEX,x,14.2,129,150,21/2-effort,66.8,1526,3.1,65.9,49.7,41,0.84
161,VVCL8,Volkl,V-Cell 8 (315g),100,27.0,326,32.0,315,66,0.304,16.0,RCVOLKL,x,14.4,129,148,21/2-effort,66.9,1530,3.1,66.0,49.8,41,0.84
162,PT1HT,Prince,Tour 100T,100,27.0,305,33.6,313,60,0.304,15.7,RCPRINCE,x,14.8,129,136,21/2-effort,67.0,1535,3.1,66.1,49.9,41,0.84
163,VS10L,Volkl,V-Sense 10 295g,98,27.0,308,33.8,313,68,0.303,15.4,RCVOLKL,x,14.6,129,153,21/2-effort,66.9,1531,3.1,66.0,49.8,42,0.84
164,U100V2,Wilson,Ultra 100 v2,100,27.0,318,33.0,314,74,0.303,15.9,RCWILSON,x,14.5,129,179,21/2-effort,66.9,1529,3.1,65.9,49.8,42,0.84
165,HRIMP,Head,Graphene 360+ Instinct MP,100,27.0,318,33.0,314,64,0.305,16.1,RCHEAD,x,14.8,129,143,21/2-effort,66.9,1529,3.1,66.0,49.8,41,0.84
166,T315R,Tecnifibre,ATP TFight 315 XTC,98,27.0,332,32.0,314,68,0.304,15.6,RCTFUSA,x,14.6,129,156,21/2-effort,66.8,1528,3.1,65.9,49.8,41,0.84
168,VF1OS,Volkl,V-Feel V1 OS,110,27.6,303,33.5,312,68,0.305,15.8,RCVOLKL,x,15.0,129,161,21/2-effort,67.2,1538,3.0,66.3,50.0,41,0.84
169,VF1,Volkl,V-Feel 1,115,27.8,272,36.6,313,70,0.307,16.3,RCVOLKL,x,15.2,130,182,21/2-effort,67.2,1538,3.0,66.4,50.0,42,0.84
170,WC108R,Wilson,Clash 108,108,27.25,295,34.5,312,56,0.309,15.9,RCWILSON,x,15.7,130,127,21/2-effort,67.2,1536,3.0,66.5,50.0,42,0.84
171,HG36L,Head,Graphene 360+ Extreme Lite,105,27.0,278,35.3,310,67,0.307,15.8,RCHEAD,x,15.8,130,150,21/2-effort,67.4,1545,3.0,66.6,50.2,42,0.84
173,FX500R,Dunlop,FX 500,100,27.0,318,33.0,314,71,0.309,16.0,RCDUNLOP,x,15.4,131,166,21/2-effort,66.9,1529,3.0,66.3,49.8,42,0.84
174,PW107,Prince,Textreme Warrior 107,107,27.0,315,32.1,314,67,0.308,16.1,RCPRINCE,x,15.4,130,154,21/2-effort,67.2,1538,3.0,66.5,50.0,42,0.84
175,PD110,Babolat,Pure Drive 110,110,27.5,281,35.5,315,66,0.31,16.1,RCBAB,x,15.4,131,158,21/2-effort,67.1,1536,3.0,66.6,50.0,42,0.84
177,H360IP,Head,Graphene 360 Instinct PWR,115,27.7,247,38.5,314,70,0.312,16.7,RCHEAD,x,16.1,132,174,21/2-effort,67.4,1544,2.9,66.9,50.1,42,0.84
181,L110,Prince,Lightning 110,110,27.5,290,35.3,313,71,0.309,15.8,RCPRINCE,x,15.6,131,157,21/2-effort,67.1,1533,3.0,66.4,49.9,42,0.84
183,BST104,Prince,Textreme Beast O3 104,104,27.0,298,34.3,317,67,0.314,16.5,RCTWABG,x,15.9,132,155,21/2-effort,67.0,1530,2.9,66.7,49.8,42,0.84
184,HGTSPW,Head,Graphene Touch Speed PWR,115,27.4,275,35.8,315,62,0.316,16.7,RCHEAD,x,16.6,133,150,21/2-effort,67.3,1538,2.9,67.0,50.0,43,0.84
185,YA115,Yonex,Astrel 115,115,27.25,282,34.8,309,64,0.315,16.2,RCYONEX,x,17.6,132,152,21/2-effort,67.6,1547,2.9,67.2,50.2,42,0.84
186,HGSPM,Head,Graphene 360 Speed MP,100,27.0,318,33.0,317,63,0.31,16.2,RCHEAD,x,15.0,131,145,21/2-effort,66.8,1526,3.0,66.3,49.7,42,0.84
187,T295R,Tecnifibre,ATP TFight 295 XTC,100,27.0,312,33.5,317,69,0.309,16.2,RCTFUSA,x,14.9,131,158,21/2-effort,66.8,1526,3.0,66.2,49.7,42,0.84
188,VVCEL9,Volkl,V-Cell 9,100,27.0,326,32.5,317,68,0.307,16.0,RCVOLKL,x,14.6,130,159,21/2-effort,66.7,1524,3.0,66.0,49.7,42,0.84
193,VCSV1H,Yonex,V CORE SV 100,100,27.0,320,32.9,318,71,0.306,16.2,RCYONEX,x,14.3,130,158,21/2-effort,66.7,1524,3.1,66.0,49.7,42,0.84
195,VSM,Volkl,V-Sense 10 Mid,96,27.0,330,32.8,320,65,0.306,16.1,RCVOLKL,x,14.0,130,145,21/2-effort,66.5,1516,3.1,65.8,49.5,42,0.84
196,PBA300,ProKennex,Black Ace (300),100,27.0,318,33.0,319,55,0.308,16.2,RCPK,x,14.4,130,119,21/2-effort,66.7,1523,3.0,66.1,49.7,42,0.84
197,VF8315,Volkl,V-Feel 8 315g,100,27.0,329,32.4,319,69,0.306,16.0,RCVOLKL,x,14.1,130,149,21/2-effort,66.6,1521,3.1,65.9,49.6,42,0.84
198,YRE98,Yonex,Regna 98,98,27.0,326,32.0,322,65,0.307,16.7,RCYONEX,x,14.0,130,141,21/2-effort,66.7,1522,3.0,66.0,49.6,42,0.84
199,V98LR,Yonex,VCORE 98 Limited,98,27.0,323,32.5,322,65,0.308,16.4,RCYONEX,x,14.0,130,144,21/2-effort,66.6,1521,3.0,66.0,49.6,42,0.84
200,VCSV98,Yonex,V CORE SV 98,98,27.0,324,32.4,321,67,0.305,16.1,RCYONEX,x,13.8,129,152,21/2-effort,66.6,1522,3.1,65.8,49.6,41,0.84
